,Movie_ID,Title,Person_ID,Name
0,0191146,Fragrance,0008498,Gay Abel-Bey
1,0191146,Fragrance,0008498,Gay Abel-Bey
2,0191146,Fragrance,0008498,Gay Abel-Bey
3,13814666,Pursued,7280958,Fathia Absie
4,4629690,The Lobby,7280958,Fathia Absie
5,0433539,Copshop,0011697,Anita W. Addison
6,0209069,Judging Amy,0011697,Anita W. Addison
7,0186948,Deep in My Heart,0011697,Anita W. Addison
8,0115161,EZ Streets,0011697,Anita W. Addison
9,0111991,The Great Defender,0011697,Anita W. Addison
10,0108757,ER,0011697,Anita W. Addison
11,0108319,There Are No Children Here,0011697,Anita W. Addison
12,0106133,Sirens,0011697,Anita W. Addison
13,0096684,Quantum Leap,0011697,Anita W. Addison
14,0101121,Homefront,0011697,Anita W. Addison
15,0101199,Sisters,0011697,Anita W. Addison
16,0078638,Knots Landing,0011697,Anita W. Addison
17,0094466,Freddy's Nightmares,0011697,Anita W. Addison
18,7379982,Savannah,0011697,Anita W. Addison
19,0225654,Eva's Man,0011697,Anita W. Addison
20,12042868,I Walk on Water,2671965,Khalik Allah
21,8099132,Black Mother,2671965,Khalik Allah
22,4686132,Field Niggas,2671965,Khalik Allah
23,19818156,KHAMAICA,2671965,Khalik Allah
24,12489982,Antonyms of Beauty,2671965,Khalik Allah
25,12443138,Urban Rashomon,2671965,Khalik Allah
26,1720197,Popa Wu: A 5% Story,2671965,Khalik Allah
27,1042907,The Razah Code Underground Hip-Hop Chapter 1,2671965,Khalik Allah
28,15943748,Being Me,7507414,Madeline Anderson
29,0231773,I Am Somebody,7507414,Madeline Anderson
30,15943772,A Tribute to Malcolm X,7507414,Madeline Anderson
31,0225990,Integration Report I,7507414,Madeline Anderson
32,1204882,The Black Candle,1802024,M.K. Asante
33,0441005,Focused Digizine #1,1802024,M.K. Asante
34,18829896,Simple Plan: Welcome to My Life,0041161,Philip G. Atwell
35,0499556,War,0041161,Philip G. Atwell
36,0286486,The Shield,0041161,Philip G. Atwell
37,8206530,The Game: Dreams,0041161,Philip G. Atwell
38,6793784,Eminem: Ass Like That,0041161,Philip G. Atwell
39,12908560,D12 World,0041161,Philip G. Atwell
40,6793822,Eminem: Just Lose It,0041161,Philip G. Atwell
41,6720476,D12: My Band,0041161,Philip G. Atwell
42,8032810,Obie Trice: Got Some Teeth,0041161,Philip G. Atwell
43,11890994,Tupac Feat. The Notorious B.I.G.: Runnin',0041161,Philip G. Atwell
44,2055789,Turbo Charged Prelude to 2 Fast 2 Furious,0041161,Philip G. Atwell
45,6793848,Eminem: Sing for the Moment,0041161,Philip G. Atwell
46,0462158,50 Cent: The New Breed,0041161,Philip G. Atwell
47,13279696,50 Cent Feat. Nate Dogg: 21 Questions,0041161,Philip G. Atwell
48,6720500,50 Cent: In da Club,0041161,Philip G. Atwell
49,6720538,Eminem: Lose Yourself,0041161,Philip G. Atwell
50,0478708,The N.W.A. Legacy: The Video Collection,0041161,Philip G. Atwell
51,6279124,Eminem: Cleanin' Out My Closet,0041161,Philip G. Atwell
52,0429253,Xzibit: Restless Xposed,0041161,Philip G. Atwell
53,7431186,Marilyn Manson: Tainted Love,0041161,Philip G. Atwell
54,7305008,Eve Feat. Gwen Stefani: Let Me Blow Ya Mind,0041161,Philip G. Atwell
55,5194526,Eminem: Stan,0041161,Philip G. Atwell
56,0462272,Eminem: E,0041161,Philip G. Atwell
57,0278793,The Up in Smoke Tour,0041161,Philip G. Atwell
58,6668232,Eminem: The Real Slim Shady,0041161,Philip G. Atwell
59,8110238,Dr. Dre Feat. Eminem & Hittman: Forgot About Dre,0041161,Philip G. Atwell
60,13321256,Ice Cube Feat. Dr. Dre & MC Ren: Hello,0041161,Philip G. Atwell
61,12235674,Snoop Dogg Feat. Dr. Dre & Jewell: Just Dippin,0041161,Philip G. Atwell
62,0237973,Making the Video,0041161,Philip G. Atwell
63,6793916,Eminem Feat. Dr. Dre: Guilty Conscience,0041161,Philip G. Atwell
64,6744232,Eminem: Role Model,0041161,Philip G. Atwell
65,6723014,Eminem: My Name Is,0041161,Philip G. Atwell
66,0191146,Fragrance,0008498,Gay Abel-Bey
67,13814666,Pursued,7280958,Fathia Absie
68,4629690,The Lobby,7280958,Fathia Absie
69,0433539,Copshop,0011697,Anita W. Addison
70,0209069,Judging Amy,0011697,Anita W. Addison
71,0186948,Deep in My Heart,0011697,Anita W. Addison
72,0115161,EZ Streets,0011697,Anita W. Addison
73,0111991,The Great Defender,0011697,Anita W. Addison
74,0108757,ER,0011697,Anita W. Addison
75,0108319,There Are No Children Here,0011697,Anita W. Addison
76,0106133,Sirens,0011697,Anita W. Addison
77,0096684,Quantum Leap,0011697,Anita W. Addison
78,0101121,Homefront,0011697,Anita W. Addison
79,0101199,Sisters,0011697,Anita W. Addison
80,0078638,Knots Landing,0011697,Anita W. Addison
81,0094466,Freddy's Nightmares,0011697,Anita W. Addison
82,7379982,Savannah,0011697,Anita W. Addison
83,0225654,Eva's Man,0011697,Anita W. Addison
84,12042868,I Walk on Water,2671965,Khalik Allah
85,8099132,Black Mother,2671965,Khalik Allah
86,4686132,Field Niggas,2671965,Khalik Allah
87,19818156,KHAMAICA,2671965,Khalik Allah
88,12489982,Antonyms of Beauty,2671965,Khalik Allah
89,12443138,Urban Rashomon,2671965,Khalik Allah
90,1720197,Popa Wu: A 5% Story,2671965,Khalik Allah
