,Name,wiki_link
0,Abdisalam Aato,/wiki/Abdisalam_Aato
1,Fathia Absie,/wiki/Fathia_Absie
2,Anita W. Addison,/wiki/Anita_W._Addison
3,Omowale Akintunde,/wiki/Omowale_Akintunde
4,Queen Muhammad Ali,/wiki/Queen_Muhammad_Ali
5,Khalik Allah,/wiki/Khalik_Allah
6,Madeline Anderson,/wiki/Madeline_Anderson
7,M. K. Asante,/wiki/M._K._Asante
8,Philip Atwell,/wiki/Philip_Atwell
9,Sam Bailey,/wiki/Sam_Bailey_(director)
10,Mya Baker,/wiki/Mya_Baker
11,Melvonna Ballenger,/wiki/Melvonna_Ballenger
12,Paris Barclay,/wiki/Paris_Barclay
13,Neema Barnette,/wiki/Neema_Barnette
14,Kim Bass,/wiki/Kim_Bass
15,Mark Beachum,/wiki/Mark_Beachum
16,Keith Beauchamp,/wiki/Keith_Beauchamp_(filmmaker)
17,S. Torriano Berry,/wiki/S._Torriano_Berry
18,Maggie Betts,/wiki/Maggie_Betts
19,Camille Billops,/wiki/Camille_Billops
20,Carroll Parrott Blue,/wiki/Carroll_Parrott_Blue
21,Benny Boom,/wiki/Benny_Boom
22,George Bowers,/wiki/George_Bowers_(filmmaker)
23,Pearl Bowser,/wiki/Pearl_Bowser
24,Garrett Bradley,/wiki/Garrett_Bradley_(filmmaker)
25,Janicza Bravo,/wiki/Janicza_Bravo
26,Donari Braxton,/wiki/Donari_Braxton
27,Kevin Bray,/wiki/Kevin_Bray_(director)
28,Richard Brooks,/wiki/Richard_Brooks_(actor)
29,Charles Burnett,/wiki/Charles_Burnett_(director)
30,Troy Byer,/wiki/Troy_Byer
31,Jeffrey W. Byrd,/wiki/Jeffrey_W._Byrd
32,Reggie Rock Bythewood,/wiki/Reggie_Rock_Bythewood
33,Ben Caldwell,/wiki/Ben_Caldwell_(filmmaker)
34,Roy Campanella II,/wiki/Roy_Campanella_II
35,Clay Cane,/wiki/Clay_Cane
36,Topper Carew,/wiki/Topper_Carew
37,Jerrod Carmichael,/wiki/Jerrod_Carmichael
38,Greg Carter,/wiki/Greg_Carter_(filmmaker)
39,Thomas Carter,/wiki/Thomas_Carter_(director)
40,Pete Chatmon,/wiki/Pete_Chatmon
41,Don Cheadle,/wiki/Don_Cheadle
42,Christopher Scott Cherot,/wiki/Christopher_Scott_Cherot
43,Matthew A. Cherry,/wiki/Matthew_A._Cherry
44,Tina Gordon Chism,/wiki/Tina_Gordon_Chism
45,Joe Robert Cole,/wiki/Joe_Robert_Cole
46,Max Cole,/wiki/Max_Cole
47,Kathleen Collins,/wiki/Kathleen_Collins
48,Coodie & Chike,/wiki/Coodie_%26_Chike
49,Ryan Coogler,/wiki/Ryan_Coogler
50,William Crain,/wiki/William_Crain_(filmmaker)
51,William Forest Crouch,/wiki/William_Forest_Crouch
52,Hanelle Culpepper,/wiki/Hanelle_Culpepper
53,Rusty Cundieff,/wiki/Rusty_Cundieff
54,Vondie Curtis-Hall,/wiki/Vondie_Curtis-Hall
55,Nia DaCosta,/wiki/Nia_DaCosta
56,Lee Daniels,/wiki/Lee_Daniels
57,Julie Dash,/wiki/Julie_Dash
58,Adam Davenport,/wiki/Adam_Davenport
59,Damon Davis,/wiki/Damon_Davis
60,Dime Davis,/wiki/Dime_Davis
61,Kiri Davis,/wiki/Kiri_Davis
62,Ossie Davis,/wiki/Ossie_Davis
