,0,1,2
0,Something of Value,1957,https://en.wikipedia.org/wiki/Ivan_Dixon
1,Dinty McGinty,1946,https://en.wikipedia.org/wiki/William_Forest_Crouch
2,John Semper official site,0000,https://en.wikipedia.org/wiki/John_Semper
3,"^ O'Hanlon, Dom",2016,https://en.wikipedia.org/wiki/Charles_Randolph-Wright
4,Mad Black Men,2014,https://en.wikipedia.org/wiki/Pierre_Edwards
5,"In the Absence of Light, documentary.",2021 – Black Art,https://en.wikipedia.org/wiki/Sam_Pollard_(filmmaker)
6,Mister Buddwing,1966,https://en.wikipedia.org/wiki/Raymond_St._Jacques
7,Beyond the Lights,2014,https://en.wikipedia.org/wiki/Reggie_Rock_Bythewood
8,The Hand We've Been Dealt: Borderline Houston,2006,https://en.wikipedia.org/wiki/Greg_Carter_(filmmaker)
9,Knots Landing,1991,https://en.wikipedia.org/wiki/Anita_W._Addison
10,"^ a b c d ""Beti Ellerson of 'African Women In Cinema'"". Medium. Retrieved 3 October 2020.",2020,https://en.wikipedia.org/wiki/Beti_Ellerson
11,I Will Follow,2010,https://en.wikipedia.org/wiki/Ava_DuVernay
12,My Brother's Wedding,1983,https://en.wikipedia.org/wiki/Charles_Burnett_(director)
13,Illegal Tender (2007),Empire (2002),https://en.wikipedia.org/wiki/Franc_Reyes_(film_director)
14,The Symbol of the Unconquered,1920,https://en.wikipedia.org/wiki/Oscar_Micheaux
15,The Streets of San Francisco,1974,https://en.wikipedia.org/wiki/Carl_Franklin
16,Monk,2004,https://en.wikipedia.org/wiki/Jo_D._Jonz
17,"^ ""Augusta area tied to celebrities"". Chronicle.augusta.com. Archived from the original on January 29, 2016. Retrieved July 31, 2016.",2016,https://en.wikipedia.org/wiki/Danny_Glover
18,"^ ""Danny Lebern Glover, Born 07/22/1946 in California | CaliforniaBirthIndex.org"". www.californiabirthindex.org. Retrieved January 17, 2022.",1946,https://en.wikipedia.org/wiki/Danny_Glover
19,"^ Inez Middleton, 64, beloved Boston Latin teacher - The Boston Globe",0000,https://en.wikipedia.org/wiki/Safiya_Songhai
20,"Baron, Jaimie. Inappropriate Bodies: Contemporary Filmmakers Challenging Gender Constructions through Appropriation. [1] UCLA Center for the Study of Women",2009,https://en.wikipedia.org/wiki/Akosua_Adoma_Owusu
21,Mr. 3000,3000,https://en.wikipedia.org/wiki/Charles_Stone_III
22,Eve's Bayou,1997,https://en.wikipedia.org/wiki/Kasi_Lemmons
23,NYPD Blue,0000,https://en.wikipedia.org/wiki/Paris_Barclay
24,"^ a b Fraser, C. Gerald",1979,https://en.wikipedia.org/wiki/Gordon_Parks_Jr.
25,Run for the Dream: The Gail Devers Story,1996,https://en.wikipedia.org/wiki/Dianne_Houston
26,Reagan,2000,https://en.wikipedia.org/wiki/Roger_Ross_Williams
27,"^ Campopiano, John",2016,https://en.wikipedia.org/wiki/Chester_Novell_Turner
28,Triplecross,1986,https://en.wikipedia.org/wiki/Damon_Wayans
29,^ http://www.crainstudios.com/About(Note: Incorrect footnote and link reference to the wrong individual listed in the article),0000,https://en.wikipedia.org/wiki/William_Crain_(filmmaker)
